"id","overall","likes","dislikes"
"295","shampooing qui sent super bon j ai pu testé grace au ambassadeur le petitmarseillais nourrit les cheveux sans les alourdir","son parfum son prix",""
"296","très agréablement surprise a rendu mes cheveux soyeux et souple a recommander","très agréable comme texture","rien a signaler"
"297","je le recommande a mes amis, je ne change plus de shampooing j ai adopter le petit marseillais.","j ai testé le petit marseillais tres satisfaite du resultat son point fort mes cheveux sont tres doux et lumineux plus besoin d apres shampooing ","aucun point faible"
"298","il laisse les cheveux brillant et bien démêler si on y ajoute le soin","doux","mousse"
"299","les cheveux sentent bons toute la journée","odeur, texture, facilité d'application et d'ouverture du produit.",""
"300","vraiment satisfaite de se produit je l'utilise en complément avec le soins de la même gamme je le recommande ","son odeur est juste délicieuse elle me transporte en vacance  son efficacité mes cheveux son plus doux et plus brillant  se trouve partout à petit prix ","/"
"301","","Il sent bon",""
"302","J'étais adepte du shampoing pantène cheveux bouclés mais étant très difficile à trouver par chez moi je me suis laisser tenter par celui ci et je dois dire que j'en suis ravie. Il est adopté et surtout conseillé. C'est un très bon rapport qualité/prix.","Tout d'abord l'odeur, c'est un vrai plaisir dans la salle de bain. Il mousse bien et se rince facilement. Mes cheveux sont très doux et brillants (on me la fait remarquer). Mes boucles sont bien dessinées. ","Ne dispense pas d'un après-shampoing."
"303","Sitôt testé, sitôt adopté : Ne dispense cependant pas d'un baume ou après-shampooing.","décidément, le petit Marseillais a tout bon avec le petit dernier de ses shampooings ! En voilà un qui réussit étonnamment bien à mon cheveu épais, sec et bouclé, coloré de surcroit. Sa texture fluide, facilite l'application et mousse bien, sa merveilleuse odeur rappelle l'été, les vacances, l'ambre solaire. Le produit se rince bien, et laisse le cheveu doux, facile à coiffer. Mes boucles n'ont jamais été aussi belles ! Du coup, j'en ai laissé tomber mon petit marseillais au lait de karité et au miel, auquel j'étais fidèle depuis des années faute de mieux. Il ne graisse pas le cuir chevelu en outre, il faut le préciser, et je tiens 5 jours entre 2 shampooings.","N'en vois pas..."
"304","Je le conseil aux personnes qui ont un petit budget cheveux. Le rapport qualité/prix est le meilleur que je connais à ce jour.","- Le prix, un prix imbattable !!!! - La composition (Huile d'argan & Karité) - L'odeur","Au lieu de rendre mes cheveux doux, il lui donne une texture ""synthétique""... mais les abimes pas. "
"305","Convient aux cheveux secs, abîmés, qui n'ont plus vraiment d'éclat. Il vaut mieux l'accompagner d'un masque ou d'un après-shampooing pour plus de facilités au démêlage. Personnellement, je suis plutôt difficile pour ce qui est des shampooings, mais j'apprécie énormément celui-ci; J'ai, pour ma part les cheveux très abîmés et surtout très secs, après utilisation du shampooing, mes cheveux étaient très doux au toucher, soyeux, faciles à démêler et brillants.","- texture agréable , facile à utiliser  - rend les cheveux très doux au toucher (une fois démêlés)  - son prix est plutôt raisonnable","- il est préférable d'appliquer un après-shampooing ou un masque après utilisation pour plus de facilités à démêler.  - tous les ingrédients ne sont pas forcément naturels, issus de l'AB, mais certes, il y a bien pire dans le conventionnel."
"306","Je le récomande a tous bon produit","Très bien pour les cheveux colore",""
"307","J'ai les cheveux mi-long bouclés à tendance sèche. j'ai essayé quantité de shampoing de pharma...  Celui ci est excellent, comme les autres de la gamme d'ailleurs, mais tout à fait adapté à ma chevelure. Il tient ses promesses pour un tarif imbattable !","Le prix L'effort sur la composition et bonne tolérance (et pourtant j'ai des soucis de sensibilité) Se rince bien et ne laisse pas les cheveux ni poisseux ni trop gras redonne du ressort à mes boucles Hydrate assouplit et adoucit le cheveux Cheveux plus brillants","euh....peut être le petit clapet qui n'est pas toujours évident à ouvrir...."
"308","Je l'ai acheté après avoir lu les commentaires des autres B-testeuses. Je voulais changer de shampooing car mes cheveux étaient ternes et cassants (merci L'Oréal! :-/ ). Depuis que j'utilise ce shampooing mes cheveux se portent beaucoup mieux! Ils ne sont plus agressés et donc bouclent mieux. Je suis ravie! En plus, son prix est imbattable. ","Sa composition (sans silicone) Son prix Son odeur... Tout quoi!","L'ouverture n'est pas toujours facile (mais c'est vraiment pour chipoter)..."
"309","Un shampoing super que j'utilise un lavage sur deux pour ne pas faire régresser mes cheveux trop vite. Mis à part cela il est top, se rince très bien, mes cheveux se portent bien mieux ! A compléter avec un masque tout de même pour les cheveux très secs comme les miens","L'odeur La texture très fluide : pas besoin de beaucoup de produit pour bien laver Le prix tout doux L'efficacité : démêle, adoucit, nourrit Sans parabens ni silicones","Pas assez nourrissant sur le long terme Cheveux qui régressent plus vite"
"310","Bon produit, j'aime beaucoup.","L'odeur qui rappelle les vacances, se rince bien, laisse les cheveux propres.","A compléter avec son AS pour une nutrition intense."
"311","","odeur agréable","pas assez nourissant sur le long terme"
"312","Alors c'est la première fois que j'utilise ce produit. J'ai les cheveux métissés moitié suisse et moitié Mauricienne. Cheveux très épais, frisés et qui ont été traités chimiquement avec des défrisants. J'ai été étonné de la douceur de mes cheveux après avoir fait le shampoing! Ce n'est pas extra doux non plus, mais le produit tient ses promesses rapport qualité prix. Je le rachèterai et le recommande! Et l'odeur est à tomber! Ça sent trop bon!","Rend les cheveux doux, se rince facilement, odeur super agréable et excellente texture! Super rapport qualité prix.","RAS me concernant"
"313","","- très bonne odeur - texture huileuse - se ²rince facilement"," il faut utiliser un après shampooing après, il ne suffit pas a bien démeler a lui seul"
"314","un très bon shampoing, effort de la marque pour la composition du produit ( sans silicone et sans paraben)","l'odeur délicieuse, laisse les cheveux doux, nourrit et facile à démêler, facile à rincer, bon pouvoir lavant, composition correcte","RAS"
"315","","Fait de très beaux cheveux Démêle bien  Sent bon Petit prix",""
"316","-","- texture huileuse/gel très agréable - une mousse bien dense et compacte qui ce rince très vite - ce rince vite - nourrit vraiment bien a court terme ce suffit a lui tout seul - laisse les cheveux très doux souple et brillant - étonnamment ne me graisse pas les cheveux il reste propre 48h  - l'odeur complètement addictive ","- a long terme le pouvoir nourrissant diminue .."
"317","","j'aime beaucoup l'odeur, on sent l'hydratation dès la shampoing","l'hydratation ne dure pas, dommage"
"318","bof bof bof. Personnellement je n'aime vraiment pas l'odeur, trop capiteuse. M'a provoqué des pellicules (après je suis sensible) et ne m'a pas démêlé les cheveux plus que ça. Je préfère son homologue au lin pour cheveux long. ","le prix","l'odeur"
"319","la compo et l'odeur m'ont séduit, le résultat est correct: les cheveux se démêlent facilement, ils sont doux, cependant mes cheveux rengraissent trop vite.","- la présence d'huile d'agrandir et de karité - l'odeur est excellente - lave correctement et se rince facilement - démêlage facile, même sans après shampoing ","- les cheveux sont un peu plats  - tendance à alourdir les cheveux"
"320","En gros un bon produit de par sa composition (qui reste chimique!!) mais les huiles sont en haut de la liste ce qui est très bien, ainsi que le fait qu'il soir sans silicone. Neanmoins, pour des cheveux extra secs comme les miens, j'ai vu mieux en terme de douceur du lavage (ca reste correcte mais j'ai vu mieux).... je continue à l'utiliser avec l'après shampoing (qui contient des siliones par contre!!) et l'huile (le masque je ne le trouve pas dans le commerce)... et je trouve le combo excellent par contre....","- La composition (Les 2 huiles sont presentes en bonne quantité), sans silicone, pas trop de produits caca, - lave très bien les cheveux (Un peu trop même) - Laisse les cheveux assez doux (enfin pas non plus extra doux)","- Lave un trop les cheveux à mon gôut - Pouvoir hydratant faible (en tout cas pour mes cheveux qui sont extra archi secs)"
"321","un tres bon shampoing pour cheveux secs et ondulés,qui lave et laisse le cheveu vraiment doux !!! à utiliser avc l 'apres shampooing meme gamme ou l'huile avant selon les gouts de chacune ! respect pour cette formule qui soigne vraiment le cheveu à long terme !! pas comme certains shampooing qui donne avc de la silicone juste l'illusion! si vous aimez comme moi l'authenthicité d'un produit et patientez à long terme je vous le recommande vivement !!! coup de coeur pour moi!!","composition efficace avc l'huile d'argan et de karité sans silicone et son petit prix! exellente odeur","aucun"
"322","je suis fan depuis l'adolescence, avec celui à la kératine. L'odeur est divine, j'en mangerais ::: en tout cas je suis addicte, pas cher et efficace, que demander de mieux","efficace, cheveux brillants, doux, faciles à déméler, odeur divine","aucun"
"323","Cest un shampooing tres bien mais il est difficile a appliquer ","Il sent bon,  Il agresse pas les cheveux ","Difficile a appliquée, matière épaisse "
"324","J ai enfin trouvé le shampoing dont les avis m ont donné envié de l essayer....très déçue mes cheveux n ont pas aime ","","Texture épaisse Alourdi les cheveux "
"325","mis à part qu'il sent bon ... je suis pas convaincu !","sent bon démèle ","graisse mes cheveux pourtant secs et rèches .. les rend raplapla"
"326","tres decue","donne de l eclat au cheuveux","ne demele pas bien desseche et bcp mes cheuveux"
"327","Un très bon shampooing pour les cheveux longs!","Ce shampooing laisse les cheveux très doux et brillants,j'ai les cheveux très longs et bouclés à tendance sèche,il les hydrate,il n'est pas agressif et mousse bien (mais pas trop). On a l'impression qu'il gaine les cheveux! L'odeur est délicieuse.",""
"328","J'adore ce shampoing. Je l'utilisais plus jeune et vais m'empresser de le racheter vite car je l'avais oublié !! (ça fait très longtemps qu'il existe)","C'est un super shampoing et sent terriblement bon !! un délice. Fais les cheveux très doux, très lisses et brillants","Peut-être à alterner avec un autre shampoing (à tendance à alourdir) "
"329","Deçue.Existe t il un 2 en 1 efficace mais qui n'alourdit pas la crinière? je cherche encore...","rend les cheveux doux.Démèle bien.Rapide","rend mes cheveux fins poisseux et lourds, sans volume"
"330","J'ai même trouvé le modèle 500 ml à 6 euros.","son odeur sa douceur Format économique",""
"331","pas mal du tout mais je n'utilise pas toute l'année un 2 en 1","- il sent très bon - nourrit bien le cheveu - falcon petit format idéal pour les voyages","RAS"
"332","je l'adore il correspond tout a fait à mes cheveux","vos cheveux sentent trop bon, ils sont tout doux et réellement moins ternes, ils brillent de santé, c'est trop agréable","on le trouve qu'en pharmacie ou parapharmacie"
"333","Un produit qui s'ajoute à la longue liste des produits mis sur le marché Français sans réél innovantation en matière de shampooing.","La douceur des graisses végétales","Corps gras qui s'élimine difficilement à court et moyen terme."
"334","Un produit agréable et rapide à utiliser qui laisse les cheveux tout doux .","Je craque pour le parfum.",""
"335","Je rachète toujours ce produit que j'adore, il n'abime pas les cheveux, et sent super bon !","",""
"336","","- prix - packaging - odeur - pouvoir lavant ","- texture horriblement liquide - très difficile à rincer - emmêle énormément les cheveux, donc démêlant obligatoire - j'ai l'impression qu'il assèche et ternit plus mes cheveux qu'autre chose, et ma couleur s'affadti à une vitesse folle depuis que j'utilise ce shampooing"
"337","j'ai aimé utiliser ce produit pour son odeur et non pour son effet ,lesracines regraissé vite et les pointe etaient réches,il faut l'associer a un bon apres shampoing pour hydrater et démeler et rendre doux les cheveux je ne racheterai pas ce produits","odeur,packaging ,contenance","cheveux qui regraisse rapidement,besoin de beaucoup de produit pour faire mousser"
"338","","Grosse bouteille/petit prix Texture/odeur très agréable",""
"339","","-sent bon -beau packaging -Lave bien","-Mousse pas -J'ai carrément l'impression que ma couleurs ternie..."
"340","odeur pas si agréable qu'espérée","La couleur se maintient dans le temps.","Les cheveux graissent très vite lorsque je l'utilise."
"341","Pour le moment, convaincue uniquement par leur shampoing à la pomme, c'est tout...","Prix et contenance Sent vraiment bon Se rince assez facilement ","Rien vu au niveau de la couleur,mm pas un peu plus d'éclat... Texture bizarre, qui mousse mal,il faut plein de produit..."
"342","délicieux shampoing dommage qu'il ne tienne pas ses promesses","odeur délicieuse lave bien","trop liquide pas d'incidence sur la tenue de la couleur"
"343","Il sent bon et lave bien les cheveux. Cela reste un bon shampoing a alterner avec d'autres. J'utilise en complément l'après shampoing de la même gamme qui me laisse les cheveux vraiment super doux et brillants","Odeur qui se fait discrète en sechant mais parfume légèrement les cheveux.  Contenance ","Comme d'autres l'ont dit il mousse peu et est très liquide donc il faut une grosse quantité quand on a les cheveux long pour bien les laver. Pas d'effet sur la couleur."
"344","j'aime bien la gamme, j'adore l'odeur mais vu la texture je ne le rachèterai pas, dommage parce que j'adore l'odeur","l'odeur, le format, ma couleur ne file pas dans l'eau de la douche comme avec d'autres shampoings, sans paraben","très liquide et il en faut pas mal pour bien le répartir sur toute la tete"
"345","C'est le 2eme shampoing de cette marque que j'utilise mais celui-ci je ne le rachèterai pas","le parfum","L'aspect, le shampoing me parait très liquide mousse très peu, je suis obligée de faire 2 shampoing mes cheveux regraissent très rapidement pas l'impression d'avoir les cheveux propres "
"346","","Odeur qui met la pêche au réveil ","J'ai des doutes sur la meilleure tenue de couleur "
"347","","","l'odeur ne reste pas sur les cheveux Ne mousse pas assez : je suis obligée de mettre une grande quantité pour que sa mousse correctement"
"348","Un super rapport qualité prix, un joli flacon si girly, et une bonne efficacité. Adopté !","Il a tout bon ! Rend les cheveux doux et lumineux, entretient bien la couleur qui reste parfaite jusqu'à la repousse des cheveux. Il mousse bien, son odeur est agréable à l'utilisation et s'évapore assez rapidement. et c'est tant mieux, j'ai pas envie d'être parfumée à la mure toute la journée !",""
"349","Je ne sais pas si je le racheterai","J'adore l'odeur ","Il ne mousse pas assez je suis obligé de mettre une grande quantité pour me laver les cheveux donc la bouteille part vite malgrès que un grand format"
"350","j'aime","-prix -odeur -volume au cheveux - cheveux en bonne santé ",""
"351","Je ne rachèterais pas.","La bouteille est jolie et peut donc être même offert dans un panier","L'odeur semble très synthétique et ne reste pas une fois les cheveux secs et même les cheveux encore mouillés"
"352","","l'odeur  la quantité le prix  laisse les cheveux doux  ",""
"353","Super shampooing qui prend soin des cheveux colorés en les hydratant et en les rendant brillant et très doux, ne parlons même pas de l'odeur qui est à tomber et qui reste. ","Odeur Doux  Démêle  Grande contenance  Composition  Entretien la couleur ","Mousse peu mais lave "
"354","Pas cher, mais gros gaspillage car je suis obligée d' arrêter l' utilisation de ce produit.","Pas cher pour sa grande contenance. Sans silicone ni paraben. ","Un shampoing ordinaire qui ne rend mes cheveux ni doux ni brillants. Je vais arrêter de l' utiliser car il me donne des pellicules et encrasse mon cuir chevelu. Mes cheveux paraissent plus secs et deviennent ternes."
"355","Ca reste un super shampoing ","- L'odeur - Le format  - Le prix - La texture  - La composition ","- Laisse mes cheveux un peu cassant"
"356","","Odeur",""
"357","","L'odeur ","J'ai été déçu de ce produit. Il m'a asséché les cheveux, j'avais l'impression qu'il ne lavait pas bien une impression de résidu sur les cheveux."
"358","Un super shampoing à petit prix vraiment je ne suis pas déçu de la gamme dop qui malgré son petit prix et aussi bon que des shampoing d'autre gamme plus réputé voir meilleur.","Des cheveux doux et beau des le premier shampoing  Son prix et flacon super économique  Les cheveux secs sont plus beau ","Aucun"
"359","Je recommande surtout pour cheveux secs il les rend doux","Lave et laisse les cheveux doux soyeux parfum divin ",""
"360","dommage, ce produit à tout pour attiré: il sent très bon, très agréable à utiliser mais se rince très difficilement et laisser les racines de cheveux grasse","shampoing qui sent très bon petit prix mousse bien, agréable à utiliser","se rince très très très mal une fois les cheveux sec, une impression de racines grasses est laisser racines poisseuse "
"361","J'ai bien aimé ce shampooing, la texture était bonne ainsi que l'odeur, cependant je pense que c'est un shampooing efficace sur un laps de temps assez court, sur le long terme il assèche les cheveux.. Dommage ! ","- Odeur  - Efficace à court terme  - Rend les cheveux souples","- Efficacité à long terme déplorable "
"362","","- Prix - La douceur des cheveux ","- Odeur - Efficacité "
"363","J'ai un mal fou à le finir je l'ai donné à mon conjoint qui a les cheveux très courts ","","Difficile à rincer  J'ai les cheveux qui regraisse plus vite et qui ne sont pas plus doux "
"364","Très très déçue des résultats : non il ne guérit pas les cheveux secs, au fils des lavages mes cheveux étaient très très épais, gonflés, ignobles. ","Economique, odeur et texture agréable, bon pouvoir lavant","Fini pour moi : mes cheveux ressemble à de la paille et sont ingérables"
"365","","Un petit prix pour un produit tout à fait correct. Les cheveux sont doux et légèrement parfumés.",""
"366","il est genial","ce shampooing fait vraiment son job:il lave très bien les cheveux ,les rends doux brillants et l'odeur est juste divine",""
"367","Je l'ai acheté après avoir lu les avis sur BT mais je suis déçue : ce produit n'a rien de mieux qu'un quelconque shampooing.","Grande contenance, texture moussante, prix correct, odeur discrète",""
"368","Sur du court terme, ce shampoing laisse laisse les cheveux doux et brillant comme de la soie. Mais sur du long terme, il m'a complètement asséché mes cheveux comme de la paille. Pour ma part, c'est fini.","odeur- Effet soie","assèche au bout de plusieurs lavages."
"369","","- petit prix et trouvable en grandes surfaces","- J'ai beaucoup de mal à rincer ce produit. Mes cheveux sont poisseux après le lavage. - l'odeur écurante."
"370","Bon shampooing au niveau propreté du cuir chevelu, je peux espacer un peu plus les lavages. En revanche, au niveau de la brillance c'est un non, de la légèreté également un non, et pour ce qui est de la douceur, dure très peu de temps. En conclusion, ce shampooing lave bien les cheveux et ne les graisse pas, mais par rapport aux promesses, ça ne colle pas.","Odeur vraiment agréable Ne fait pas rengraisser les cheveux plus rapidement Une bouteille dure longtemps","La sensation de douceur disparaît quelques heures après le shampooing Ne rend pas les cheveux brillant Pour ma part (cheveux épais), ils ne sont pas plus légers"
"371","","Rend les cheveux doux et agréable au toucher ",""
"372","","Ce shampoing est très agréable à l'utilisation grâce à son odeur et sa texture.  Il laisse les cheveux doux avec cette odeur de rose. Et ce produit est fabriqué en FRANCE ","La composition est un chimique ..."
"373","Je l'utilise quand je vais à la piscine ( chasse bien l'odeur du chlore et démêle bien les cheveux )","Rend les cheveux doux , souples et bien hydrates . Odeur très agréable.","Un peu chimique! "
"374","","Son odeur et son packaging !","Sa composition n'est pas si ""propre"" que ça..."
"375","bon shampooing dans l'ensemble qu'on peut se proccurer très facilement pour 239 il fait bien son boulot mais son parfum de rose est trop entetant à mon gout","-texture crémeuse qui mousse et se rinçe bien -composition soignée (sans paraben ni silicone) -efficacité de la protéine de soie qui rend les cheveux doux -flacon de 400ml (rose girly) qui dure longtemps et n'est vraiment pas cher -fabriquer en France!","-son parfum de rose très (meme trop) présent on aime ou pas............"
"376","Je ne suis pas fan de l'odeur mais cela reste un très bon shampooing j'utilise un démêlant ","Sans paraben ni silicone ","L'odeur "
"377","Je n'aime pas du tout l'odeur de rose (chacun ses goûts !) mais je n'ai jamais vu un shampoing seul laisser mes cheveux hyper secs et bouclés aussi doux. J'utilise tout de même un soin après le shampoing pour les nourrir.","Laisse mes cheveux secs très doux ! Sans silicone Le prix","L'odeur de rose "
"378","Jadore je rachete encore et encore. ","Ce shampoing est SUPER. Il lave en douceur hydrate mes pointes sèches (cheveux boucles) sans graisser mes racine. Lodeur est au top. Il coute vraiment pas chere. ","AUCUN"
"379","Satisfaite, comme j'ai les cheveux très secs j'utilise un soin en complément mais je ne cherchais pas un shampoing qui nourrit les cheveux car pour moi ce n'est pas le but, je cherchais juste un shampoing qui soit doux et qui n'agresse pas les cheveux abimés et à ce niveau il est très bien pour moi ! ","Cheveux légers et pas allourdis  Shampoing doux donc agréable pour une utilisation quotidienne ","Pour les cheveux vraiment secs, seul il ne suffit pas, appliquer un soin après, mais en même temps je ne prends pas un shampoing pour nourrir, les soins sont là pour ça"
"380","","- sans silicone - petit prix - odeur agréable - fait briller les cheveux - laisse les cheveux doux","- un peu long à rincer - après shampoing indispensable pour les cheveux très secs"
"381","C'est un shampoing super efficace,ultra doux,avec une composition sans paraben et sans silicone, avec un agréable parfum d'eau de rose. 2 en 1 il rend les cheveux doux et brillant.","-Lave correctement et en douceur -Son parfum -Son prix","-Je n'en ai pas trouvé"
"382","J'ai dépenser des fortunes en champooing spécialisé cheveux sec et maltraité par le fer a lisser et finalement très satisfaite mar un bon marché","Cheveux très doux dès la 1er utilisation",""
"383","J'adore ce shampoing, j'aime bien varier mais je pense le racheter car je suis très satisfaite. Si vous avez des cheveux vraiment secs, il faut le combiner avec un masque ou une huile.","-très bonne odeur -ne contient pas de silicone ni de paraben -n'abime pas trop les cheveux -grande contenance et tout petit prix -fait des cheveux doux, brillants, légers ",""
"384","","Odeur très agréable qui reste sur les cheveux Rend les cheveux légers et plus doux","Un peu plus cher que les autres shampoings dop de la même gamme, mais l'écart de prix est négligable au vu des avantages de ce shampoing i"
"385","","jolie couleur rose du shampoing le plus doux des Dop (et je les ai quasiment tous testé) qui rend les cheveux doux (j'ai les cheveux bouclé type maghrebin) très bon rapport qualité prix",""
"386","j'ai les cheveux secs et ce shampoing à petit prix est assez convaincant. c'est un assez bon produit que je recommande.","",""
"387","Pas convainquant du tout.","Mousse bien, bonne odeur. ","ne nourrit presque pas, cheveux pas si propre que cela après le lavage..."
"388","","Fabrication française  Odeur Sans paraben Sans silicone Prix accessible ","Pas d'après shampoing  Pas de masque dans cette gamme dommage "
"389","Ce produit est un super shampooing doux pour les cheveux qui lave et demele en douceur à un prix très raisonnable  Il laisse une très bonne odeur de rose très agréable et sa jolie présentation rose attire l oeil nous avons adopté ce produit et je le recommande ","Une odeur de rose très subtil Il demele bien les cheveux même long Il n est pas agressif  Son prix ","Aucun"
"390","Le sans silicone m'a attirée mais il m'a tellement graisse les cheveux que ca ma fait le même effet qu'avec les produits bourrés de silicones :(","Doux Sans silicones","Ma surgraisse les cheveux Hyper nutritif "
"391","Je ne rachete pas, pas convaincu","Le flacon","Odeur de rose un peu forte, utiliser un apres shampoing car apres son utilisation j'ai une impression de (cheveux secs voir paille) et le prix."
"392","J'adore ce shampooing très efficace mais dommage pour ma peau... ","Le prix, le flacon très fille, laisse une bonne odeur, bien moussant et efficace","Pour ma part à long terme m'assèche la peau du cuir chevelu"
"393","Bon produit, je recommande","Un bon shampoing quand on a un budget plutôt serré ! Belle surprise, belle découverte, j'aime beaucoup l'odeur !","Un petit peu dur à rincer"
"394","Je recommande pour celle qui ont les cheveux secs ","Shampooing qui sent bon, bonne texture rend les cheveux doux plus facile a coiffer ","J ai eu du mal a le trouver "
"395","Je valide ! Très bon shampooing basique dans sa gamme.  Il faudrait l'après-shampooing qui va avec.. Ce serait une tuerie !  DOP c'est TOP ! ","- Packaging ultra girly !  - La pub.  - Odeur subtile. - Texture crémeuse très riche.  - Pouvoir moussant. - Excellent pour masser la chevelure.  - Le prix.  - Satine légèrement les cheveux.  - Effet très léger sur la nutrition. ","- Ne nourrit pas suffisamment les pointes."
"396","","Odeur a tomber ,ça sent trop bon,hyper agréable.prix très abordable","J'aimerai que l'odeur reste un peu plus longtemps sur les cheveux."
"397","dépanne mais n'est pas super efficace sur mes racines grasses","-grande contenance, flacon plastique, dure longtemps -odeur très agréable -une petite quantité suffit -petit prix","-mes cheveux regraissent vite "
"398","J'aime beaucoup l'odeur de rose ","Mousse bien et rend mes cheveux doux et légers ","Bouteille pas facile à ouvrir sous la douche"
"399","Je recommande mais a utiliser avec un apres shampoing ","Prix tres abordable ;je trouve jolie l'association des deux couleurs et l'odeur est agreable.","Si je l'utilise sans apres shampoing sa m'asseche les cheveux"
"400","","Odeur  Fait pour usagé fréquents Doux ",""
"401","","Packaging et l'odeur ","Domage ne démêle pas les cheveux et ne sont pas doux"
"402","toute de même pour les cheveux normaux non colorés je le conseille","l'odeur et la texture","ne rend pas les cheveux doux"
"403","C'est globalement un bon shampooing familial ","-La composition  -Le prix  -Le packaging  -Rend les cheveux soyeux et doux","- L'odeur "
"404","Une horreur sur mes cheveux.. je regrette mon achat. Je tiens juste à préciser que ce produit sur MES cheveux est une catastrophe.. pourrait peut-être convenir à d'autres.. ","Prise en main de la bouteille Texture ","Odeur BOF, senti dans le rayon ça allait mais je trouve cette odeur écurante à la longue Me rend les cheveux RECHES COMME DE LA PAILLE VOIR PIRE, DRUS carrément piquants  Mes cheveux deviennent incoiffables DONC perte de beaucoup de cheveux!"
"405","Dommage - pour le prix sa aurait été une vraie découverte. Je ne rachète pas .","- format familial  - prix tout doux - couleur pastel très girly  - il était temps que Dop le sorte celui la ....mais ","Malheureusement c'est un flop pour mes cheveux ( fins , longs , secs , et bouclés) .  - a rendu mes cheveux très secs en les séchant ( effet paille )  "
"406","Je ne la racheterais pas. ","Odeur","Comparé aux autres shampoing que j'utilise, son pouvoir adoucissant est faible. "
"407","Shampoing sans prétention mais à la composition sans silicone ni paraben d 'un excellent rapport qualité prix : Pas mon shampoing préféré mais en relais de temps en temps.","Shampoing à l' odeur très agréable mousse et se rince bien. Une composition sans silicone et paraben . Un shampoing familial par excellence",""
"408","Très bon shampoing qui laisse les cheveux doux, propres et brillants, il satine vraiment les cheveux!","-Odeur divine sucrée comme à la rose -Grande quantité pour petit prix -Rend les cheveux doux, brillants, propre avec un fini velouté et soyeux au toucher -Odeurqui reste subtilement dans les cheveux -Dêmele bien","-Odeur qui a à la longue peut devenir entêtante ou lassante"
"409","Excellent rapport qualité/prix","Excellent odeur, on croirait presque du parfum",""
"410","j'ai les cheveux bouclés à tendance sec, avec ce shampooing j'ai de belles boucles et mes cheveux sont doux et hydratés","sent bon hydrate les cheveux les rend doux","aucun"
"411","","Des cheveux sains et brillants et un parfum très agréable, même mon mari s'y est mis ! ",""
"412","J'ai adoré le flacon, et l'odeur est vraiment excellente pour moi moi qui adore ce parfum de rose.j'ai les cheveux colorés et pourtant après le shampoing ils étaient tout doux; je suis enchantée","Tout","RAS"
"413","super pour toute la famille ","super il fait briller les cheuveux de toutes la famille et son odeur est agréable ",""
"414","Rend les cheveux doux et toute la famille en profite y compris monsieur ! ","Bon shampoing qui rend les cheveux plus nourris et brillants. Excellent rapport qualité prix, la taille du flacon est nickel pour l'usage d'une famille. Une bonne odeur très agréable qui reste légèrement dans les cheveux après le séchage. ","J'aurais aimé trouvé le masque dans la même gamme "
"415","Bon shampoing au prix excessif.","Bon shampoing qui rend les cheveux doux,toute la famille l'utilise.","Aucun"
"416","j adore ce produit il adoucit les cheveux","rend les cheveux hyper doux pour les cheveux secs","aucun"
"417","pas mal mais peut mieux faire","le prix, l odeur  rend les cheveux doux et legerement brillant","pas extraordinaire mais bon rapport qualité/prix le parfum ne reste pas"
"418","Vraiment bien! excellent rapport qualité-prix. Une grosse bouteille qui lui confère un usage familiale. Fait son job nutrition et douceur. Je recommande. Idéal pour les petits budget course!","son petit prix pour une grosse contenance (400ml contre 200ml pour la plupart des shampooing...). Odeur agréable, sans silicone, sans paraben, frabriqué en france, jolie présentation très féminin, se rince bien, nourri et adouci les cheveux.","Ne fait pas vraiment de miracle en ce qui concerne la nutrition, bouteille opaque donc on ne voit pas quelle quantité de produit il reste dedans et peut-être aussi le fait qu'on ne peut pas mettre la bouteille tête en bas quand il reste plus beaucoup de produit."
"419","","Une odeur très agréable il mousse beaucoup et permet de bien envelopper la chevelure","ne laisse pas les cheveux très brillants"
"420","","L'odeur est magnifique !",""
"421","shampoing qui fais son job mais pas de miracle coté capilaire","odeur girly facile a faire mousser alourdis pas le cheveux bon pouvoir lavant  format économique Sans silicone, sans paraben ","l' odeur ne reste pas sur les cheveux après le rinçage  pas d' effet soyeux sur les cheveux pas d' hydratation sur les cheveux secs  "
"422","Il ne laisse pas les cheveux particulièrement soyeux, rien de percevable","L'odeur est agréable et le shampoing lave bien","Il laisse mes cheveux un peu ""poisseux"" bien que je les rince beaucoup. Il leur donne aussi une forme bizarre et je les perd un plus que d'habitude"
"423","Excellent rapport qualité prix ! un super shampoing qui fait son job.","un produit simple, qui laisse les cheveux doux, propre et agréablement parfumé. ","Comme tout les shampoings de la marque, flacon un peu trop simple, une pompe serait top ;)"
"424","","J'aime beaucoup les shampoings DOP, ayant les cheveux fins et sans volume, ce sont les seuls shampoings qui me laisse une belle chevelure...celui ci est très bien, il n'allourdit pas et satine les cheveux. Très bonne contenance pour petit prix.","De démêle pas très bien, vaut mieux appliquer un après-shampoing, donc pas satisfaite du côté 2 en 1."
"425","un bon shampooing basique, agréable à utiliser, ne fait pas de miracles sur des cheveux très secs mais n'alourdit pas non plus les cheveux pour un 2 en 1.","-un shampooing bon marché, grande contenance -la texture est agréable, il mousse bien et se rince bien pour un 2 en 1 -le flacon très ""fille"" et l'odeur j'adore (ça sent un peu la rose)","pas vu de reel effet nourrissant ou demêlant (j'ai les cheveux frisés) "
